deviceCode_location_wardName,deviceCode_pyld_alarmType,date,,,,
A Narayanapura,FCW,8.3.18,,,,
A Narayanapura,FCW,8.3.18,,,,
A Narayanapura,PCW,8.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,Overspeed,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,Overspeed,9.3.18,,,,
A Narayanapura,Overspeed,9.3.18,,,,
A Narayanapura,Overspeed,9.3.18,,,,
A Narayanapura,FCW,9.3.18,,,,
A Narayanapura,FCW,9.3.18,,,,
A Narayanapura,FCW,9.3.18,,,,
A Narayanapura,Overspeed,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,HMW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,HMW,9.3.18,,,,
A Narayanapura,HMW,9.3.18,,,,
A Narayanapura,HMW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,HMW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,HMW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,FCW,9.3.18,,,,
A Narayanapura,PCW,9.3.18,,,,
A Narayanapura,PCW,9.3.18,,,,
A Narayanapura,PCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,FCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,FCW,9.3.18,,,,
A Narayanapura,PCW,9.3.18,,,,
A Narayanapura,HMW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,PCW,9.3.18,,,,
A Narayanapura,PCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,PCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,9.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,FCW,12.3.18,,,,
A Narayanapura,HMW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,FCW,12.3.18,,,,
A Narayanapura,FCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,PCW,12.3.18,,,,
A Narayanapura,HMW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,FCW,12.3.18,,,,
A Narayanapura,PCW,12.3.18,,,,
A Narayanapura,Overspeed,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,HMW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,HMW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,PCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,FCW,12.3.18,,,,
A Narayanapura,FCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,UFCW,12.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,FCW,13.3.18,,,,
A Narayanapura,FCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,FCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,HMW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,HMW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,Overspeed,13.3.18,,,,
A Narayanapura,HMW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,FCW,13.3.18,,,,
A Narayanapura,FCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,HMW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,PCW,13.3.18,,,,
A Narayanapura,PCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,UFCW,13.3.18,,,,
A Narayanapura,PCW,13.3.18,,,,
A Narayanapura,FCW,13.3.18,,,,
A Narayanapura,HMW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,FCW,14.3.18,,,,
A Narayanapura,FCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,HMW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,PCW,14.3.18,,,,
A Narayanapura,PCW,14.3.18,,,,
A Narayanapura,FCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,Overspeed,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,HMW,14.3.18,,,,
A Narayanapura,HMW,14.3.18,,,,
A Narayanapura,HMW,14.3.18,,,,
A Narayanapura,PCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,PCW,14.3.18,,,,
A Narayanapura,FCW,14.3.18,,,,
A Narayanapura,HMW,14.3.18,,,,
A Narayanapura,HMW,14.3.18,,,,
A Narayanapura,FCW,14.3.18,,,,
A Narayanapura,UFCW,14.3.18,,,,
A Narayanapura,PCW,14.3.18,,,,
A Narayanapura,HMW,14.3.18,,,,
A Narayanapura,FCW,14.3.18,,,,
A Narayanapura,UFCW,15.3.18,,,,
A Narayanapura,UFCW,15.3.18,,,,
A Narayanapura,UFCW,15.3.18,,,,
A Narayanapura,UFCW,15.3.18,,,,
A Narayanapura,UFCW,15.3.18,,,,
A Narayanapura,UFCW,15.3.18,,,,
A Narayanapura,UFCW,15.3.18,,,,
A Narayanapura,UFCW,15.3.18,,,,
A Narayanapura,UFCW,15.3.18,,,,
A Narayanapura,PCW,15.3.18,,,,
A Narayanapura,FCW,15.3.18,,,,
A Narayanapura,HMW,15.3.18,,,,
A Narayanapura,UFCW,15.3.18,,,,
A Narayanapura,PCW,15.3.18,,,,
