lat,lon
12.97955799,77.74253082
12.97998619,77.7427597
12.98309994,77.74384308
12.98348045,77.74375916
12.98726273,77.74097443
12.98749828,77.73996735
12.98752785,77.73752594
12.98752022,77.73716736
12.98779011,77.73408508
12.98785973,77.73368835
12.98801804,77.7328186
12.98823833,77.73169708
12.98823833,77.73169708
12.98823833,77.73169708
12.98823833,77.73169708
12.98904991,77.72721863
12.9892664,77.72628784
12.99036312,77.72360992
12.99081039,77.72206879
12.99095058,77.72172546
12.99113846,77.72138214
12.99147987,77.72077942
12.9915247,77.72070313
12.99217033,77.71819305
12.99217033,77.71819305
12.99217033,77.71819305
12.99217033,77.71819305
12.99220562,77.71718597
12.99223328,77.71672821
12.99214458,77.71593475
12.99153805,77.71530151
12.99088955,77.71460724
12.99019146,77.71381378
12.98898983,77.71179962
12.98805141,77.71013641
12.98754787,77.70739746
12.98766994,77.70734406
12.98835564,77.70432281
12.989151,77.70368195
12.98943043,77.70358276
12.99116611,77.70333099
12.98351955,77.74378204
12.983531,77.74378967
12.98590755,77.74464417
12.98629093,77.74436188
12.9866209,77.74338531
12.98696041,77.74217224
12.98714638,77.74147797
12.98730087,77.74089813
12.98750782,77.73999786
12.99388123,77.70183563
12.98752594,77.73648834
12.98752785,77.73641968
12.98752785,77.73634338
12.98752975,77.73626709
12.99525642,77.70141602
12.98787785,77.73350525
12.98789597,77.73330688
12.98811817,77.7318573
12.98816967,77.73152161
12.98819828,77.73127747
12.99367619,77.70304108
12.99364281,77.70320129
12.99364567,77.70320892
12.99364567,77.70320892
12.9885807,77.72913361
12.99362755,77.70333862
12.99362469,77.70339203
12.98888111,77.72763824
12.99308014,77.70593262
12.99304104,77.7068634
12.99301624,77.70707703
12.99202538,77.72885132
12.99299335,77.70744324
12.99298477,77.70806885
12.9928503,77.71069336
12.99256992,77.71205902
12.9938097,77.73123169
12.99464512,77.73141479
12.99568081,77.73100281
12.99354553,77.71549225
12.99566555,77.72973633
